#rank	DIAMOnD_node	p_hyper
1	P08574	7.684216901890396e-06
2	P09669	8.781046486047187e-06
3	P08247	1.596218974710709e-05
4	O96000	5.2062387242986745e-05
5	P05455	2.0829997034053964e-05
6	Q8WZA2	4.850463302749149e-05
7	P25705	0.00011450883041163791
8	P24539	4.93318180375925e-06
9	P06576	2.27533493825238e-06
10	O75947	1.2610939341631274e-06
11	P48047	3.457187276620481e-05
12	Q9NS69	7.164347005657391e-05
13	Q5TC12	1.3666187265042573e-06
14	Q9Y4W6	5.1544465709967014e-06
15	Q15388	2.6341918000384887e-07
16	Q15390	1.1589875044304419e-07
17	Q16891	1.6383190226584608e-07
18	Q9NX40	1.3531556117056005e-08
19	O75880	8.37120507487903e-09
20	Q96I36	2.264151924487077e-09
21	O94826	1.4201795511930451e-11
22	P13073	9.314451053462134e-12
23	P36542	3.090766690635964e-13
24	Q9Y512	4.133203233618235e-13
25	Q9NX63	1.5816774072005292e-14
26	O75431	1.029529571066836e-16
27	Q9HBL7	3.826346433721687e-17
28	Q9H9B4	1.8098982548113867e-14
29	Q9H078	1.0368782137866387e-16
30	Q96TA2	1.1586145789139116e-15
31	P14854	1.3368629756699656e-15
32	Q5HYI7	1.5373924220203738e-15
33	P36551	1.7623766789014726e-15
34	Q99618	2.582878473168334e-15
35	Q9Y5J9	1.6020022691573003e-14
36	Q14249	1.8203347800945318e-14
37	Q7KZN9	6.532432370354304e-14
38	Q9NSE4	7.544446079044582e-14
39	Q5T9A4	1.0484189956788556e-13
40	O00165	1.7678404117641142e-13
41	Q9NVH1	8.576446107470115e-16
42	Q92667	2.312171092414114e-13
43	O14880	5.142384903185616e-14
44	Q9Y5L4	8.788692280170012e-15
45	O00429	3.7905928287147465e-14
46	Q96A49	6.505859948897649e-13
47	P13804	7.344168706865348e-13
48	Q70CQ3	8.380475011604926e-13
49	Q5JTJ3	9.260761451149674e-13
50	O60220	1.7010520522587559e-12
51	O43715	2.8022337766132946e-12
52	P51970	3.0816278423646036e-12
53	Q9BRQ6	3.3794901149835547e-12
54	Q96A73	3.647703616172733e-12
55	Q4VC31	3.9326804611862025e-12
56	O75489	5.029424467116811e-12
57	P38117	1.0625677269133887e-11
58	Q9Y2W6	2.3073010023278465e-11
59	P53701	2.512910185623837e-11
