P15927,P40763
P05067,Q92624
P05549,Q09472
P04114,P55157
P38398,Q99728
P35219,Q14643
P06400,P39880
P33992,P49736
O00311,P49736
P49736,Q13416
O43823,P49736
P25205,P49736
P30304,P63104
P24941,Q16667
P15336,P84022
P15336,Q13485
P30281,Q9UBQ5
P08069,P41240
P27540,Q14190
P12004,P24522
P62304,Q9Y4Y9
P18146,Q09472
P19174,P68104
P29692,Q86UP2
P03372,Q8TDD1
P05556,P21333
P14672,Q9UER7
P46379,Q8IZH2
P42858,Q9BYW2
P42858,P54257
P42858,Q8IUH5
P42858,Q9NX55
P42858,Q15642
P27348,Q14814
P15923,Q02535
P06213,P35568
P01583,Q99608
O14744,O60674
O75190,P05783
P02545,P20700
P02545,P36956
P10415,Q13625
P10415,Q14457
P09917,Q14019
P12956,P13010
P12956,P49959
P67809,Q13242
Q13111,Q9UIS9
P06400,P33993
Q03164,Q9UNP9
Q03164,Q03164
P20929,Q86TC9
P37840,Q9Y6H5
P19838,P41279
Q04206,Q9Y6X2
P31751,Q9UKG1
P15036,Q15131
O43516,Q14247
P01111,P52306
P52306,P61586
P42336,Q92569
P16109,Q15036
P98161,Q13563
Q13563,Q13563
P48995,Q13563
P22459,Q12959
P10644,P31321
P05107,P63244
Q05513,Q8IX03
P20339,Q15276
P52306,P62834
P51587,Q06609
Q06609,Q14565
O60381,P06400
P25791,P25791
P05386,P05387
P09012,P09012
P16157,Q5VST9
O15304,P26842
P36897,P62942
O43572,P10644
O15273,Q8WZ42
P00519,Q13315
P01112,P52306
P36897,P37173
P21580,Q86VP1
P04637,Q9NZC7
P29353,Q16832
O60716,P12830
P12830,Q75N03
P40337,Q6IE81
P18887,P49916
P18887,Q96T60
P17028,Q15697
P21333,P41180
P23246,Q15233
O15530,P41743
P51813,Q16825
O43463,P45973
Q05086,Q9UHD9
Q9BZI7,Q9HAU5
Q96B97,Q99963
P11532,Q9Y4J8
O43307,Q9NQX3
O60828,Q9Y2W2
O60880,Q13291
P63279,Q06787
P51114,Q06787
P10398,P36507
Q92834,Q96KN7
O43924,Q92834
P10275,Q9Y6Q9
P10275,Q13772
O75928,P10275
Q13185,Q14739
P45973,Q14739
Q07866,Q9UPT6
P98164,Q9H9E1
O43586,Q05209
P29353,Q05209
P49023,Q05209
Q13569,Q92793
Q08117,Q9Y3E5
Q04724,Q96HZ4
Q12923,Q16513
P38432,P54253
P40855,Q9Y5Y5
Q16539,Q9Y6W6
Q15154,Q96RK4
O15116,P28074
P33240,P53999
Q05048,Q99728
O43543,O75771
Q02363,Q99081
P15884,Q02363
O00623,P50542
P52298,Q09161
P16333,P54762
P78352,Q15303
P46937,Q15303
O75925,P42224
P25815,P25815
P80217,Q13287
O15357,Q9BX66
Q96T58,Q9Y618
O14964,P54257
P53618,Q9Y678
P98082,Q9UM54
Q13485,Q9NPI6
P78536,Q12959
O15085,O43157
P62312,P62316
P62310,P62318
P45983,Q9Y6W6
P43487,P62826
Q13416,Q99741
O43294,Q14289
P42345,Q9UMX0
O00499,O95219
P36894,Q15427
Q8NEZ2,Q99816
P63208,Q9HB71
P11142,Q99933
P39687,P54253
O75530,Q15910
P54725,P55036
P54727,P55036
Q93034,Q9UBF6
Q14566,Q14566
O00287,P48382
O43521,Q92843
O14974,Q14005
O00257,Q06587
P52306,P63000
P53365,P63000
O75410,O95619
O14744,P54105
Q86TG7,Q8IUQ4
Q8IUQ4,Q9HB71
Q13418,Q9H0C8
P48059,Q13418
P13569,Q9HD26
Q14493,Q8IV48
Q8WWN9,Q99418
O60563,O94992
Q13163,Q99759
Q08379,Q9H8Y8
P61326,Q9Y5S9
Q9H0E2,Q9NPH3
Q99729,Q9H3D4
Q15788,Q96RI1
P25205,P33992
Q09472,Q99967
O94985,Q99767
O15117,Q86WV1
P54619,Q9Y478
Q9UGJ0,Q9Y478
O43741,P54619
O43741,Q9UGJ0
P54619,Q9UGJ0
Q99459,Q9UNY4
Q14151,Q15424
O75461,Q8N488
Q8IZP0,Q8N8S7
P84022,Q14511
Q9H307,Q9UQ35
Q96EZ8,Q9UER7
O15360,P51532
O95271,Q96RU3
O15392,Q96GD4
Q13546,Q9Y572
O95999,Q9UDY8
O43747,P56377
O75843,P56377
O60583,O94992
P51159,Q96C24
Q96RT1,Q99569
O15031,Q92730
Q9UBF2,Q9Y678
A5D8V6,O14964
O75791,Q13480
O60784,Q9H0E2
Q15025,Q9UNY4
Q8IZP0,Q9Y2A7
O95257,Q8TAE8
Q9UKS6,Q9UNF0
P41271,Q9UMX0
Q15633,Q15633
Q14764,Q9UKK3
O75530,Q92769
Q13444,Q9Y5X1
P17081,Q9HD26
Q96BK5,Q96EZ8
Q9BY11,Q9UKS6
Q9BY11,Q9BY11
Q07912,Q96JZ2
O94829,P26367
Q9UPM8,Q9Y6B7
O15116,Q9Y333
O95777,Q9Y333
P62310,Q9Y333
Q9UK45,Q9Y333
P62310,Q9UK45
O43918,O43918
P04792,Q9UJY1
Q8TAT6,Q92890
P18848,Q96RU7
Q99684,Q9Y6X2
Q14511,Q96J02
Q8TBZ2,Q99417
Q08397,Q9UBX5
P02795,Q15139
Q8TEY7,Q92813
O15534,Q16526
O00327,Q16526
Q12873,Q8NC51
P61968,Q99708
Q15024,Q5RKV6
P61923,Q9Y678
Q8IYI6,Q96KP1
Q14582,Q8TDR4
P49137,Q8IXK0
O00311,Q9UBU7
O15511,P59998
P62136,Q96KR7
P51532,Q8NFD5
Q8NEZ2,Q9UK41
P19429,Q59H18
Q5RKV6,Q9Y3B2
Q9UKI8,Q9Y294
Q9NVP2,Q9UKI8
Q6P0Q8,Q9BYE9
P18615,Q8WX92
O00299,O15116
O95870,Q99942
O95870,Q9BVK8
P19784,P67870
P67870,P67870
Q9HCM9,Q9HCM9
Q12933,Q99618
Q13137,Q96S44
Q14533,Q9BQD3
P23528,P60709
P25791,Q15555
Q96AJ1,Q9BW66
Q12933,Q96EK7
P24278,Q12933
Q969R5,Q9HAF1
P98175,Q9UKA9
O95257,P57060
O15162,Q16630
O00214,Q13137
Q15038,Q96GG9
Q13137,Q8TES7
Q9BUL8,Q9Y6E0
Q15645,Q9H0W9
P53567,P55198
O14964,Q9UPT5
Q9H4T2,Q9NWS9
Q15834,Q7Z3B3
Q9BQD3,Q9GZQ8
P18848,Q13227
P21673,Q96I25
Q12933,Q9NVF7
O43809,P60660
P41743,Q9NPB6
Q93062,Q96SI9
Q86UW9,Q93062
Q93062,Q9H0E2
P32242,Q9BQ66
Q9UKI8,Q9UKI8
P13807,P46976
P21266,P21266
Q03426,Q03426
Q96BS2,Q9NP66
P56597,Q8WWB3
Q96CG3,Q9BXS5
O43298,Q8TAU3
O95751,Q8TBB1
P31947,Q92934
P49639,Q99750
P19012,Q96GM5
Q8N6Y0,Q8WWB3
Q9NRF8,Q9NRF8
P24522,Q13561
Q9NWS9,Q9NX65
P04259,P19012
O95994,Q96HA1
Q53G59,Q9NZ81
Q8WUB8,Q969R5
P62760,Q86UW9
P43355,Q9NQG6
O60936,O60936
P36406,P36406
P61457,P61457
P61978,Q8NE01
P37198,Q7Z3B4
P60520,Q9UH92
P15531,Q96HA8
P40426,Q6RW13
O75928,Q8IVL1
Q53G59,Q53G59
O60504,Q6ZU52
Q8NEU8,Q9UKG1
Q96HA8,Q9H773
O60232,P51946
Q9UL45,Q9Y3C0
Q9UEU0,Q9UNK0
P52789,Q9UMX0
P60709,Q9Y281
Q15038,Q15038
P43364,Q8IXB1
Q86SE5,Q9NVV9
P56545,Q9UIF8
P63279,Q8NDC0
O75340,Q9Y5Z4
Q9UL46,Q9UL46
Q15038,Q6P1W5
Q12933,Q13526
Q9BWD3,Q9UMX0
O43739,Q969H4
Q8NHQ8,Q96NE9
P49789,P49789
Q96G97,Q96HH6
O43402,Q15006
P51116,Q9BXS5
Q96G97,Q9BZL3
P25208,Q14919
Q96BD8,Q9UL45
O60941,P37198
P60709,P60709
Q96LK0,Q9BQD3
O43765,P10451
Q96EZ8,Q9BQD3
O75525,Q9H9D4
Q8N6Y0,Q96MT8
