vertex,#occurrences,%occurrences,terminal
P21397,30,1.0,True
P50222,30,1.0,False
P22466,30,1.0,True
Q9NR28,30,1.0,True
P21554,30,1.0,True
P29274,30,1.0,False
P17677,30,1.0,True
Q86X19,30,1.0,False
O95831,30,1.0,True
Q8IZ57,30,1.0,True
P11169,30,1.0,True
Q08209,30,1.0,False
Q9UHH9,30,1.0,True
P42858,30,1.0,True
P21917,30,1.0,False
Q7Z3S9,30,1.0,False
Q6NTF9,30,1.0,False
P27338,30,1.0,True
Q96BA8,30,1.0,False
P53805,30,1.0,True
P08247,30,1.0,False
Q99808,30,1.0,True
P39905,30,1.0,True
O00519,30,1.0,True
P28329,30,1.0,False
O14901,29,0.9666666666666667,False
P61764,29,0.9666666666666667,False
Q9Y225,24,0.8,False
Q6ZUI0,24,0.8,False
Q9C0E8,23,0.7666666666666667,False
O95674,22,0.7333333333333333,False
Q9H2A7,22,0.7333333333333333,False
Q5RI15,18,0.6,False
Q9ULZ1,18,0.6,False
O15354,18,0.6,False
P23560,17,0.5666666666666667,False
P13473,17,0.5666666666666667,False
Q96KS9,16,0.5333333333333333,False
Q9BYR0,15,0.5,False
P0C7X2,15,0.5,False
Q9BYR8,14,0.4666666666666667,False
Q12797,13,0.43333333333333335,False
Q8WTV1,12,0.4,False
A8MQ03,12,0.4,False
Q3KNW5,12,0.4,False
O15155,12,0.4,False
P28331,12,0.4,False
Q5SR56,12,0.4,False
P24588,12,0.4,False
Q8TED1,10,0.3333333333333333,False
Q5JX71,9,0.3,False
Q8TDT2,8,0.26666666666666666,False
Q14525,8,0.26666666666666666,False
Q5JXC2,7,0.23333333333333334,False
Q16740,7,0.23333333333333334,False
Q9HBV2,6,0.2,False
Q66K80,6,0.2,False
Q9BY12,6,0.2,False
O00217,6,0.2,False
P62899,5,0.16666666666666666,False
Q00325,5,0.16666666666666666,False
Q7Z6I5,5,0.16666666666666666,False
Q70CQ3,5,0.16666666666666666,False
Q3KNS6,5,0.16666666666666666,False
Q8N143,5,0.16666666666666666,False
Q05952,4,0.13333333333333333,False
P14653,4,0.13333333333333333,False
Q9Y2P0,4,0.13333333333333333,False
Q8IV31,3,0.1,False
Q8TB36,3,0.1,False
Q13520,3,0.1,False
Q8WWF3,3,0.1,False
Q96DR4,3,0.1,False
O75127,3,0.1,False
Q9BWT7,3,0.1,False
